,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
224,0,0,0,0,851,0,0,864,223,66,25,1023,0,0,158,1365,801,0,15957,67210,1366,18,0,0,10849,3535,44,79,14,0,62281,7345,7437,889,58,614,104,3080,523,204,336,6405,1,33,1382,0,440,15,468,222,1402,1575,0,112,38,0,0,153,284,2755,1138,84,0,0,117,0,62,75,0,261,6874,110,0,0,2188,951,0,0,0,93,97,0,67,176,1016,186,28,533,8,0,2127,0,39,577,52,0,67,5505,0,421,0,0,0,447,7809,0,0,0,3416,763
225,0,0,0,2630,0,1837,0,16124,575,214,43,2630,0,0,77,2903,398,0,572,13859,32,0,0,0,0,1991,0,0,372,0,1111,6,1905,1359,2069,329,881,26,1751,759,0,111,1223,7925,55,214,252,7320,507,0,0,33059,35,11098,5006,0,0,1138,2362,46770,7207,2830,0,0,447,0,553,0,0,0,345,237,0,0,9185,208,147,12,0,1316,2792,0,66,0,397,97,210,4130,0,0,1352,0,72,104,0,0,615,2289,0,817,0,0,0,7604,274,0,3129,66978,3503,12499
226,0,29,0,32,863,8340,0,1676,12,46,0,526,0,0,11,688,111,0,35,0,0,0,0,0,0,766,0,1327,8,178,213,0,73,14,130,6261,69,2055,463,0,0,78,0,33,26750,0,7,17,67,147,565,626,0,126,106,0,32,3189,47,15036,18,81,0,0,0,0,2,1060,39,0,4796,0,0,1177,60,18313,0,64,0,0,0,540,623,0,1003,27,3,23329,23,1,255,0,14,11,0,0,86,2362,0,2222,124,0,0,80,982,0,0,833,237,10
227,0,0,0,725,45,0,25,7687,844,0,215,12090,0,0,39,0,1178,0,325,21091,0,0,0,0,0,284,0,66,987,0,1174,25,3237,1421,2261,0,1058,84,0,0,0,277,0,4301,100,0,587,3054,769,0,4424,22437,0,28211,5520,62,0,234,1641,0,7417,0,0,0,475,0,657,5810,145,0,1627,1348,0,0,17585,124,118,0,8634,0,488,3244,0,0,261,18,230,521,0,27,2608,0,41,238,0,0,128,4202,0,6153,0,0,0,3515,596,0,0,16402,205,12303
228,0,2,793,0,0,790,0,473,128,152,0,1485,0,0,160,0,734,253,904,109161,1404,48,0,0,7240,2011,0,152,4,0,76780,9089,8450,2283,218,478,31,2734,0,19,0,1947,31,25,393,0,722,23,814,147,954,3498,0,189,320,6863,0,82,170,3433,1078,73,383,0,128,0,27,147,0,307,7294,26,0,55,2522,582,0,0,0,0,0,946,0,0,455,61,10,620,0,0,925,0,0,222,0,0,0,3357,0,1409,15,0,0,1033,15621,0,0,39,619,1056
229,0,0,0,106,0,45,0,656,47,0,0,789,0,0,69,167,143,0,46,0,0,29,0,0,0,0,0,87,17,12019,167,2,11,24,32,25242,135,0,4,0,0,3212,0,491,1391,0,33,0,197,121,40,0,0,137,657,0,0,723,548,34625,800,0,0,0,0,0,24,7137,121,0,148,0,0,40,149,3856,0,214,0,0,0,0,332,0,25,20,263,62268,8,0,470,0,0,716,0,33,0,98,0,61,5,0,0,1073,37,115,262,2232,0,208
230,0,0,0,0,620,0,0,1216,130,220,0,667,38,0,206,693,698,669,1850,67972,2131,0,0,0,12814,3575,25,0,0,0,65587,12252,5918,1464,340,820,55,1551,166,32,0,4290,0,172,997,1044,1866,62,361,151,126,877,0,62,376,6574,270,157,321,1945,1374,311,0,0,737,0,15,273,0,0,8774,87,0,0,2049,1327,0,86,0,0,0,1406,778,55,205,21,0,385,189,0,1180,0,0,429,0,0,0,5229,0,0,62,0,0,707,24765,0,70,31,1898,1109
231,0,0,0,0,53,1467,0,5437,205,0,6,3364,0,0,5,0,510,0,22,0,0,0,0,0,0,0,0,40,0,102,2,0,0,18,160,86204,368,15,597,0,0,160,0,1229,1169,0,30,145,40,0,354,951,0,8736,214,0,0,894,633,16266,163,58,0,0,20,0,35,23850,0,0,132,27,0,5011,0,4410,12,22,0,0,0,81,111,10,22,14,23,173179,60,0,299,0,0,25,0,0,0,372,0,0,1442,0,0,672,329,0,0,49103,0,0
232,0,27,0,508,191,5920,0,6593,10,0,0,4804,35,39,8,12,241,0,71,0,0,0,0,0,0,0,20,44,23,229,17,0,0,87,0,89640,350,48,124,0,11,88,0,1973,705,19,14,0,101,16,215,619,7,366,552,21,0,341,97,8292,482,0,0,0,0,0,132,30857,40,102,102,0,56,2523,0,6133,0,0,475,0,87,101,143,0,16,19,5,174627,0,0,86,0,0,34,0,11,0,322,0,219,337,0,0,1329,130,0,112,76488,0,173
233,0,48,0,199,1723,439,0,990,31,85,6,156,0,0,15,0,13,0,10,0,8,0,0,0,0,1322,0,178,3,3955,0,0,0,6,29,18153,54,40,1,17,0,1643,0,488,1502,85,0,47,313,95,13,35,0,15,1066,0,46,1973,257,110235,695,60,170,0,0,0,7,1665,98,160,281,0,0,6,0,1893,0,215,0,85,0,0,320,0,26,49,0,61853,28,0,1221,0,2,909,0,0,0,67,0,25,25,0,0,664,153,0,101,630,14,110
